problem,planLength,totalTime,ehcTime,bfsTime
1,7,0.0513262,0.0047942,0.0309099
2,20,0.1153983,0.0070991000000000005,0.0893925
3,13,0.0524988,0.034539099999999996,0.0
4,16,0.1613649,0.04354050000000001,0.0926642
5,19,0.2061726,0.04593679999999999,0.1325248
6,13,0.2099963,0.026214099999999994,0.1494117
7,14,0.261249,0.08839,0.1300106
8,23,0.3820819,0.0146532,0.3247887
9,30,0.7957655,0.17947710000000003,0.5632388
10,21,0.1490685,0.09281580000000002,0.0
11,21,0.171506,0.1216606,0.0
12,-,-,-,-
13,27,1.7841922,0.03565530000000001,1.6679233
14,40,8.4262568,3.086086400000001,5.2102064
15,-,-,-,-
16,-,-,-,-
17,-,-,-,-
18,-,-,-,-
19,-,-,-,-
20,-,-,-,-
