problem,planLength,totalTime,ehcTime,bfsTime
1-0,4,0.0095533,0.0027602,0.0
1-1,3,0.0134852,0.0037669,0.0
1-2,4,0.0109802,0.0034005,0.0
1-3,4,0.009746,0.0027005,0.0
1-4,4,0.0094696,0.0026915,0.0
2-0,7,0.012971,0.0042293999999999995,0.0
2-1,7,0.0126275,0.0041748,0.0
2-2,8,0.0130203,0.0045686,0.0
2-3,8,0.0141918,0.0046874,0.0
2-4,9,0.0128414,0.0045892,0.0
3-0,12,0.0182574,0.0073852,0.0
3-1,13,0.0178168,0.007487799999999999,0.0
3-2,12,0.0178621,0.0072576,0.0
3-3,12,0.0166792,0.0066755,0.0
3-4,12,0.0179479,0.0068319,0.0
4-0,17,0.0220367,0.0098481,0.0
4-1,16,0.0228821,0.009961000000000001,0.0
4-2,17,0.0235903,0.010902599999999998,0.0
4-3,18,0.022697,0.0103894,0.0
4-4,19,0.0317347,0.0130758,0.0
5-0,23,0.034961,0.0189965,0.0
5-1,23,0.0326142,0.0171238,0.0
5-2,20,0.0295762,0.0147709,0.0
5-3,21,0.034189,0.0162318,0.0
5-4,24,0.0347019,0.0179105,0.0
6-0,28,0.0456908,0.0263882,0.0
6-1,26,0.0554378,0.0278326,0.0
6-2,27,0.0454175,0.026427,0.0
6-3,26,0.0514245,0.0316392,0.0
6-4,28,0.0467402,0.027176,0.0
7-0,31,0.0574706,0.033212599999999995,0.0
7-1,33,0.0797118,0.040914200000000005,0.0
7-2,29,0.0535057,0.029118099999999997,0.0
7-3,29,0.0544652,0.0261766,0.0
7-4,33,0.060968,0.0353249,0.0
8-0,36,0.0721362,0.041456,0.0
8-1,36,0.1096638,0.062082,0.0
8-2,34,0.0719258,0.0412378,0.0
8-3,32,0.0668246,0.0365877,0.0
8-4,35,0.0719642,0.0416063,0.0
9-0,40,0.1000701,0.056320499999999996,0.0
9-1,40,0.1277762,0.062059100000000006,0.0
9-2,40,0.1007945,0.0568168,0.0
9-3,39,0.0993492,0.0565721,0.0
9-4,40,0.1003572,0.05294320000000001,0.0
10-0,41,0.1598893,0.0943356,0.0
10-1,44,0.1399799,0.0818264,0.0
10-2,45,0.1289306,0.07934719999999999,0.0
10-3,41,0.1204089,0.0672082,0.0
10-4,46,0.1275352,0.0740961,0.0
11-0,51,0.16028,0.10228720000000002,0.0
11-1,48,0.1666635,0.10764939999999999,0.0
11-2,50,0.1652688,0.10781460000000001,0.0
11-3,48,0.1780394,0.10265219999999999,0.0
11-4,47,0.1536917,0.09316340000000001,0.0
12-0,51,0.1891092,0.11625369999999999,0.0
12-1,52,0.1885714,0.11605249999999999,0.0
12-2,54,0.1862615,0.1178572,0.0
12-3,54,0.1875584,0.1087854,0.0
12-4,53,0.1725332,0.097477,0.0
13-0,57,0.2555935,0.15401800000000002,0.0
13-1,56,0.1943728,0.10689679999999999,0.0
13-2,55,0.2035331,0.1121954,0.0
13-3,58,0.2076242,0.1225224,0.0
13-4,57,0.2082086,0.12449530000000002,0.0
14-0,61,0.2530763,0.1407165,0.0
14-1,63,0.2525699,0.1432416,0.0
14-2,59,0.2805587,0.14387579999999997,0.0
14-3,60,0.2391258,0.1376124,0.0
14-4,60,0.2482159,0.1407452,0.0
15-0,65,0.2819027,0.16001810000000002,0.0
15-1,67,0.2865369,0.1662122,0.0
15-2,70,0.3086946,0.1861732,0.0
15-3,68,0.2921072,0.1649796,0.0
15-4,68,0.2854324,0.16724909999999996,0.0
16-0,69,0.3425621,0.2089765,0.0
16-1,69,0.3328068,0.19667730000000003,0.0
16-2,73,0.340392,0.2001095,0.0
16-3,71,0.4387554,0.2725872,0.0
16-4,70,0.370582,0.2264595,0.0
17-0,73,0.3808473,0.22455,0.0
17-1,75,0.4083193,0.23149770000000003,0.0
17-2,74,0.3867986,0.2217076,0.0
17-3,79,0.4062295,0.2403354,0.0
17-4,76,0.4536973,0.2612643,0.0
18-0,78,0.4632037,0.2698195,0.0
18-1,77,0.4539116,0.2655111,0.0
18-2,80,0.4702585,0.28438540000000007,0.0
18-3,79,0.4640185,0.2797167,0.0
18-4,81,0.4846285,0.29177250000000005,0.0
19-0,88,0.5841985,0.34812030000000005,0.0
19-1,80,0.5247613,0.3134144000000001,0.0
19-2,83,0.5421646,0.32639740000000006,0.0
19-3,87,0.5644461,0.36263010000000007,0.0
19-4,84,0.5395252,0.3313033,0.0
20-0,89,0.6305422,0.4048983,0.0
20-1,86,0.6326773,0.40429560000000003,0.0
20-2,92,0.6582544,0.4281545999999999,0.0
20-3,88,0.6692086,0.4094092000000001,0.0
20-4,88,0.6643035,0.40890460000000006,0.0
21-0,90,0.87864,0.5766871,0.0
21-1,94,0.7979412,0.5046012999999999,0.0
21-2,89,0.7830147,0.47653320000000005,0.0
21-3,97,0.8280161,0.5300423,0.0
21-4,91,0.765043,0.49758189999999997,0.0
22-0,99,0.9072186,0.6018342,0.0
22-1,97,0.9789731,0.6238792,0.0
22-2,99,0.9701794,0.6796969,0.0
22-3,98,0.913356,0.6009786000000001,0.0
22-4,97,0.9487966,0.5750774,0.0
23-0,108,1.0950487,0.7505698,0.0
23-1,99,1.0381489,0.6860364000000001,0.0
23-2,101,1.1165493,0.7593678,0.0
23-3,103,1.043358,0.7084429999999999,0.0
23-4,101,1.0460023,0.6525517,0.0
24-0,103,1.1914631,0.7964549999999999,0.0
24-1,109,1.2536986,0.8666570999999998,0.0
24-2,111,1.3647293,0.9543333,0.0
24-3,110,1.2638719,0.8455459,0.0
24-4,108,1.1988523,0.8195867,0.0
25-0,110,1.5220084,1.0138707999999998,0.0
25-1,111,1.3758301,0.9221200000000003,0.0
25-2,111,1.3604039,0.9112980000000003,0.0
25-3,112,1.4906853,1.0429838999999999,0.0
