problem,planLength,totalTime,ehcTime,bfsTime
1-0,4,0.0077987,0.0049237,0.0
1-1,3,0.0074804,0.0045425,0.0
1-2,4,0.0074513,0.00473,0.0
1-3,4,0.0075525,0.0045579,0.0
1-4,4,0.0072997,0.0045676,0.0
2-0,7,0.0095537,0.0059708,0.0
2-1,7,0.0097805,0.0061757,0.0
2-2,8,0.0102807,0.0067098,0.0
2-3,8,0.0099329,0.0065219,0.0
2-4,9,0.0108559,0.0070358,0.0
3-0,12,0.0144709,0.010015900000000001,0.0
3-1,13,0.0153025,0.010701899999999999,0.0
3-2,12,0.0144716,0.010010699999999999,0.0
3-3,12,0.0128483,0.008995099999999999,0.0
3-4,12,0.0138881,0.0095202,0.0
4-0,17,0.0193966,0.0139809,0.0
4-1,16,0.0198642,0.0141055,0.0
4-2,17,0.0205445,0.014962,0.0
4-3,18,0.0199253,0.0143773,0.0
4-4,19,0.0207536,0.0154083,0.0
5-0,23,0.0278486,0.020782899999999997,0.0
5-1,23,0.0274779,0.0208458,0.0
5-2,20,0.0239707,0.0173416,0.0
5-3,21,0.0237774,0.0177061,0.0
5-4,24,0.0267589,0.0203139,0.0
6-0,28,0.0416058,0.033433000000000004,0.0
6-1,26,0.0389016,0.0310077,0.0
6-2,27,0.0520895,0.0352255,0.0
6-3,26,0.0393226,0.0265699,0.0
6-4,28,0.0432495,0.0349483,0.0
7-0,31,0.0525386,0.0413103,0.0
7-1,33,0.0506079,0.0404198,0.0
7-2,29,0.0657476,0.0532884,0.0
7-3,29,0.0503913,0.0408219,0.0
7-4,33,0.0509483,0.040419899999999995,0.0
8-0,36,0.0731958,0.05651579999999999,0.0
8-1,36,0.0645262,0.047017500000000004,0.0
8-2,34,0.0626412,0.05038519999999999,0.0
8-3,32,0.0601701,0.0481516,0.0
8-4,35,0.0666029,0.04995320000000001,0.0
9-0,40,0.0885458,0.07444529999999999,0.0
9-1,40,0.0885757,0.0737731,0.0
9-2,40,0.0964264,0.0791919,0.0
9-3,39,0.0868248,0.07291,0.0
9-4,40,0.0872293,0.07387139999999999,0.0
10-0,41,0.1032987,0.08648639999999999,0.0
10-1,44,0.1106906,0.0924149,0.0
10-2,45,0.1170552,0.0963942,0.0
10-3,41,0.1053308,0.08792760000000001,0.0
10-4,46,0.1124505,0.0956277,0.0
11-0,51,0.1304755,0.11216150000000003,0.0
11-1,48,0.1399452,0.11925899999999999,0.0
11-2,50,0.1348826,0.11561580000000002,0.0
11-3,48,0.1406724,0.12055480000000002,0.0
11-4,47,0.1280018,0.1092431,0.0
12-0,51,0.1601757,0.1333289,0.0
12-1,52,0.1571271,0.12959070000000003,0.0
12-2,54,0.1775811,0.14717109999999997,0.0
12-3,54,0.1691779,0.14237709999999998,0.0
12-4,53,0.1554446,0.1227827,0.0
13-0,57,0.236241,0.20421750000000002,0.0
13-1,56,0.1813784,0.15638739999999995,0.0
13-2,55,0.1799682,0.1522903,0.0
13-3,58,0.2109535,0.1819918,0.0
13-4,57,0.1926343,0.16679680000000002,0.0
14-0,61,0.2055894,0.1762556,0.0
14-1,63,0.2080172,0.1790108,0.0
14-2,59,0.2126463,0.1762812,0.0
14-3,60,0.1992369,0.1649795,0.0
14-4,60,0.2078657,0.1771545,0.0
15-0,65,0.2378171,0.2020242,0.0
15-1,67,0.2597607,0.2167963,0.0
15-2,70,0.3080379,0.2607443,0.0
15-3,68,0.2752685,0.2384579,0.0
15-4,68,0.2797575,0.241162,0.0
16-0,69,0.3147737,0.2669729,0.0
16-1,69,0.293914,0.2445471,0.0
16-2,73,0.3196881,0.27651660000000006,0.0
16-3,71,0.3006485,0.25624450000000004,0.0
16-4,70,0.2943334,0.2443936,0.0
17-0,73,0.3417136,0.2856354,0.0
17-1,75,0.3336678,0.2884883000000001,0.0
17-2,74,0.3669155,0.32126090000000007,0.0
17-3,79,0.3854682,0.33227280000000003,0.0
17-4,76,0.3709903,0.326861,0.0
18-0,78,0.4035504,0.34606980000000004,0.0
18-1,77,0.3978862,0.32612379999999996,0.0
18-2,80,0.4110264,0.3600742,0.0
18-3,79,0.4140067,0.3470930000000001,0.0
18-4,81,0.4167016,0.3419711,0.0
19-0,88,0.5167722,0.4578140999999999,0.0
19-1,80,0.4758786,0.40722310000000006,0.0
19-2,83,0.5131125,0.4461464,0.0
19-3,87,0.5098727,0.43379580000000006,0.0
19-4,84,0.4878632,0.42762159999999994,0.0
20-0,89,0.592917,0.5139065,0.0
20-1,86,0.5615256,0.4766901,0.0
20-2,92,0.6374496,0.5521385,0.0
20-3,88,0.5903084,0.4935568,0.0
20-4,88,0.5866883,0.49364800000000003,0.0
21-0,90,0.6762305,0.5903172000000001,0.0
21-1,94,0.6524724,0.5341909999999999,0.0
21-2,89,0.6589679,0.5358763,0.0
21-3,97,0.708849,0.6251586,0.0
21-4,91,0.7103592,0.6039064000000001,0.0
22-0,99,0.7772945,0.6621367,0.0
22-1,97,0.7464704,0.6546449999999999,0.0
22-2,99,0.748105,0.6548628000000001,0.0
22-3,98,0.7793092,0.6583676999999999,0.0
22-4,97,0.7938689,0.6664657999999999,0.0
23-0,108,0.919587,0.7943815,0.0
23-1,99,0.8772253,0.7515826000000002,0.0
23-2,101,0.8668202,0.7348559000000002,0.0
23-3,103,0.9488698,0.8073979999999998,0.0
23-4,101,0.9364992,0.817851,0.0
24-0,103,1.0079861,0.8859964000000001,0.0
24-1,109,1.079236,0.9295613999999999,0.0
24-2,111,1.076986,0.9477223,0.0
24-3,110,1.091164,0.9358084999999999,0.0
24-4,108,1.0596438,0.9418191000000001,0.0
25-0,110,1.2062619,1.0789314,0.0
25-1,111,1.1773106,1.0200528,0.0
25-2,111,1.2581337,1.0986703999999998,0.0
25-3,112,1.1962084,1.034008,0.0
25-4,111,1.1729792,1.03425,0.0
26-0,116,1.3284624,1.1337258,0.0
26-1,113,1.3171522,1.1552077,0.0
26-2,112,1.3396914,1.1986855000000003,0.0
26-3,118,1.3231911,1.1911251999999999,0.0
26-4,116,1.3334294,1.1493514,0.0
27-0,122,1.5140891,1.3628335999999996,0.0
27-1,119,1.6683286,1.4303187999999998,0.0
27-2,121,1.5706798,1.3959083,0.0
27-3,122,1.5445521,1.3590038999999998,0.0
