problem,planLength,totalTime,ehcTime,bfsTime
1,12,0.0214478,0.0157395,0.0
2,8,0.0168623,0.011642399999999999,0.0
3,13,0.0308072,0.0231033,0.0
4,8,0.0362788,0.0194743,0.0
5,23,0.1045176,0.0836075,0.0
6,39,0.0922518,0.0738298,0.0
7,18,0.0490462,0.037770200000000004,0.0
8,28,0.1369769,0.11489870000000002,0.0
9,36,0.1558907,0.1326301,0.0
10,38,0.1863611,0.1504122,0.0
11,42,0.2699191,0.24211419999999997,0.0
12,25,0.1173739,0.0975425,0.0
13,48,0.4578619,0.3727427,0.0
14,33,0.1805957,0.14538589999999998,0.0
15,44,0.3023111,0.22541049999999999,0.0
16,47,0.3152417,0.24138890000000002,0.0
17,54,0.8830952,0.7891077000000001,0.0
18,46,0.8226997,0.6577235999999999,0.0
19,72,3.6103191,3.244188999999999,0.0
20,90,6.6675864,6.021561299999999,0.0
