problem,planLength,totalTime,ehcTime,bfsTime
1,10,0.0248097,0.0104806,0.0
2,8,0.0217427,0.0085448,0.0
3,13,0.0331169,0.0184571,0.0
4,8,0.0236498,0.007744399999999999,0.0
5,24,0.066839,0.0329667,0.0
6,40,0.0945394,0.048395600000000004,0.0
7,18,0.0531398,0.0243844,0.0
8,28,0.1443102,0.0559037,0.0
9,36,0.1681245,0.0973068,0.0
10,35,0.1869158,0.1019146,0.0
11,41,0.2334733,0.12458280000000002,0.0
12,19,0.1306831,0.0534537,0.0
13,46,0.6123539,0.3025647,0.0
14,32,0.1926231,0.0858176,0.0
15,45,0.4232717,0.22743799999999997,0.0
16,42,0.331603,0.1349733,0.0
17,55,1.0674018,0.5805027999999999,0.0
18,50,1.4127609,0.7350076999999999,0.0
19,83,6.1771389,3.4186987999999996,0.0
20,89,10.6194041,6.1032226,0.0
