problem,planLength,totalTime,ehcTime,bfsTime
1,12,0.0267693,0.012377599999999999,0.0
2,8,0.0216083,0.008293100000000001,0.0
3,12,0.0322393,0.0174959,0.0
4,8,0.0261644,0.0078256,0.0
5,22,0.0602488,0.028114500000000004,0.0
6,39,0.0899742,0.045816699999999995,0.0
7,18,0.0489065,0.024686000000000003,0.0
8,26,0.136569,0.0516037,0.0
9,34,0.1819838,0.1065617,0.0
10,39,0.2018836,0.11334480000000001,0.0
11,41,0.254231,0.1171548,0.0
12,23,0.1473772,0.0757354,0.0
13,47,0.6081759,0.28273380000000004,0.0
14,31,0.2389067,0.1156945,0.0
15,42,0.3538912,0.17020800000000003,0.0
16,45,0.3221116,0.1536959,0.0
17,54,1.0945141,0.4482929,0.0
18,46,1.1801042,0.5640773,0.0
19,75,5.8457233,3.0863973000000002,0.0
20,92,10.8875813,6.3231699,0.0
