problem,planLength,totalTime,ehcTime,bfsTime
1,9,0.0311595,0.0086563,0.0
2,13,0.0280384,0.011292900000000002,0.0
3,14,0.0442726,0.0216836,0.0
4,21,0.0604161,0.023321599999999998,0.0
5,19,0.0884098,0.0380551,0.0
6,21,0.1023895,0.042857299999999994,0.0
7,27,0.1636285,0.07153970000000001,0.0
8,26,0.2870606,0.11819569999999997,0.0
9,33,0.4354381,0.21013790000000002,0.0
10,34,0.6075444,0.3235067,0.0
11,37,0.6260932,0.25297949999999997,0.0
12,46,1.2410445,0.5648246,0.0
13,69,2.4818479,1.3477578000000001,0.0
14,51,1.456388,0.6903295,0.0
15,54,1.9804888,1.0514819,0.0
16,61,3.3281383,1.7905031999999996,0.0
17,51,3.1933638,1.6534071999999997,0.0
18,34,1.0282192,0.5848143999999998,0.0
19,71,1.9155157,0.9890507999999999,0.0
20,145,3.8890431,2.4928257000000005,0.0
