problem,planLength,totalTime,ehcTime,bfsTime
1,9,0.0218469,0.0218469,0.0
2,13,0.0355848,0.0355848,0.0
3,14,0.0509548,0.0509548,0.0
4,21,0.0822392,0.0822392,0.0
5,21,0.0892811,0.0892811,0.0
6,20,0.1198231,0.1198231,0.0
7,23,0.1632898,0.1632898,0.0
8,28,0.3420233,0.3420233,0.0
9,37,0.458626,0.458626,0.0
10,34,0.4173797,0.4173797,0.0
11,35,0.5382814,0.5382814,0.0
12,43,2.0944272,2.0944272,0.0
13,77,6.9097198,6.9097198,0.0
14,45,1.151073,1.151073,0.0
15,53,3.4794552,3.4794552,0.0
16,53,3.2324172,3.2324172,0.0
17,56,8.2298667,8.2298667,0.0
18,40,1.4218137,1.4218137,0.0
19,83,101.8985576,101.8985576,0.0
20,113,15.360471,15.360471,0.0
